quarantine_id,run_id,dataset,quarantine_timestamp,error_reasons,order_id,customer_id,product_id,quantity,unit_price,discount_rate,total_amount,order_date,order_status,payment_method
Q-pipe-20260817170515-c0ef-orders-00000,pipe-20260817170515-c0ef,orders,2026-08-17T17:05:16.283755,duplicate order_id,ORD-0003075,CUST-000209,P-PRD-105,1,4500.0,0.05,4275.0,2026-08-12 06:50:12,Cancelled,Debit Card
Q-pipe-20260817170515-c0ef-orders-00001,pipe-20260817170515-c0ef,orders,2026-08-17T17:05:16.283755,unit_price must be greater than 0,ORD-0000515,CUST-000417,P-PRD-108,5,-750.0,0.0,-3750.0,2026-05-15 19:07:43,Processing,Cash on Delivery
Q-pipe-20260817170515-c0ef-orders-00002,pipe-20260817170515-c0ef,orders,2026-08-17T17:05:16.283755,customer_id is null | orphaned customer_id (not in customer master),ORD-0000517,,P-PRD-102,1,899.0,0.0,899.0,2026-08-04 17:46:54,Shipped,Wallet
Q-pipe-20260817170515-c0ef-orders-00003,pipe-20260817170515-c0ef,orders,2026-08-17T17:05:16.283755,invalid or unparseable order_date format,ORD-0002563,CUST-000221,P-PRD-112,2,179.0,0.0,358.0,2026-99-99 25:99:99,Refunded,Cash on Delivery
Q-pipe-20260817170515-c0ef-orders-00004,pipe-20260817170515-c0ef,orders,2026-08-17T17:05:16.283755,invalid or unparseable order_date format,ORD-0003588,CUST-000330,P-PRD-106,1,1200.0,0.1,1080.0,2026-99-99 25:99:99,Pending,Net Banking
Q-pipe-20260817170515-c0ef-orders-00005,pipe-20260817170515-c0ef,orders,2026-08-17T17:05:16.283755,duplicate order_id,ORD-0000008,CUST-000032,P-PRD-109,4,550.0,0.15,1870.0,2026-04-04 15:52:46,Refunded,Net Banking
Q-pipe-20260817170515-c0ef-orders-00006,pipe-20260817170515-c0ef,orders,2026-08-17T17:05:16.283755,quantity must be greater than 0,ORD-0001033,CUST-000256,P-PRD-106,0,1200.0,0.2,0.0,2026-06-03 02:39:22,Cancelled,Cash on Delivery
Q-pipe-20260817170515-c0ef-orders-00007,pipe-20260817170515-c0ef,orders,2026-08-17T17:05:16.283755,orphaned customer_id (not in customer master),ORD-0004100,CUST-ORPHAN-957109,P-PRD-106,10,1200.0,0.0,12000.0,2026-02-25 00:21:57,Pending,Cash on Delivery
Q-pipe-20260817170515-c0ef-orders-00008,pipe-20260817170515-c0ef,orders,2026-08-17T17:05:16.283755,unit_price must be greater than 0,ORD-0000523,CUST-000407,P-PRD-111,2,-249.0,0.1,-498.0,2026-02-23 10:49:03,Completed,Credit Card
Q-pipe-20260817170515-c0ef-orders-00009,pipe-20260817170515-c0ef,orders,2026-08-17T17:05:16.283755,order_status not in allowed business statuses,ORD-0003081,CUST-000036,P-PRD-107,2,199.0,0.15,338.3,2026-06-05 17:24:44,UNKNOWN_ERROR_STATUS,Wallet
Q-pipe-20260817170515-c0ef-orders-00010,pipe-20260817170515-c0ef,orders,2026-08-17T17:05:16.283755,duplicate order_id,ORD-0002978,CUST-000475,P-PRD-106,1,1200.0,0.0,1200.0,2026-07-13 21:03:09,Shipped,Cash on Delivery
Q-pipe-20260817170515-c0ef-orders-00011,pipe-20260817170515-c0ef,orders,2026-08-17T17:05:16.283755,order_status not in allowed business statuses,ORD-0002067,CUST-000286,P-PRD-112,3,179.0,0.0,537.0,2026-04-24 06:16:07,UNKNOWN_ERROR_STATUS,Credit Card
Q-pipe-20260817170515-c0ef-orders-00012,pipe-20260817170515-c0ef,orders,2026-08-17T17:05:16.283755,order_status not in allowed business statuses,ORD-0002071,CUST-000204,P-PRD-104,1,299.0,0.0,299.0,2026-08-01 23:08:40,UNKNOWN_ERROR_STATUS,Debit Card
Q-pipe-20260817170515-c0ef-orders-00013,pipe-20260817170515-c0ef,orders,2026-08-17T17:05:16.283755,duplicate order_id,ORD-0000537,CUST-000152,P-PRD-110,1,3500.0,0.1,3150.0,2026-07-24 23:16:29,Cancelled,Wallet
Q-pipe-20260817170515-c0ef-orders-00014,pipe-20260817170515-c0ef,orders,2026-08-17T17:05:16.283755,unit_price must be greater than 0,ORD-0001050,CUST-000166,P-PRD-104,1,-299.0,0.0,-299.0,2026-02-21 15:59:06,Cancelled,Debit Card
Q-pipe-20260817170515-c0ef-orders-00015,pipe-20260817170515-c0ef,orders,2026-08-17T17:05:16.283755,unit_price must be greater than 0,ORD-0003097,CUST-000214,P-PRD-107,1,-199.0,0.1,-199.0,2026-05-29 23:17:29,Cancelled,Cash on Delivery
Q-pipe-20260817170515-c0ef-orders-00016,pipe-20260817170515-c0ef,orders,2026-08-17T17:05:16.283755,unit_price must be greater than 0,ORD-0003612,CUST-000428,P-PRD-111,1,-249.0,0.0,-249.0,2026-04-04 07:15:59,Completed,Credit Card
